#NumA     ,NumB     ,CarryIn  ,Result   ,CarryOut ,
00000000000000000000000000000000,00000000000000000000000000000000,0,00000000000000000000000000000000,0,Result OK   ,CarryOut OK   ,
00000000000000000000000000000001,00000000000000000000000000000001,0,00000000000000000000000000000010,0,Result OK   ,CarryOut OK   ,
11111111111111111111111111111111,00000000000000000000000000000000,0,11111111111111111111111111111111,0,Result OK   ,CarryOut OK   ,
00000000000000000000000000000000,11111111111111111111111111111111,0,11111111111111111111111111111111,0,Result OK   ,CarryOut OK   ,
00000000000000000000000000000000,00000000000000000000000000000001,0,00000000000000000000000000000001,0,Result OK   ,CarryOut OK   ,
11111111111111111111111111111111,11111111111111111111111111111111,0,11111111111111111111111111111110,1,Result OK   ,CarryOut OK   ,
00000000000000000000000000000001,00000000000000000000000000000001,1,00000000000000000000000000000011,0,Result OK   ,CarryOut OK   ,
11111111111111111111111111111111,00000000000000000000000000000000,1,00000000000000000000000000000000,1,Result OK   ,CarryOut OK   ,
00000000000000000000000000000000,11111111111111111111111111111111,1,00000000000000000000000000000000,1,Result OK   ,CarryOut OK   ,
00000000000000000000000000000000,00000000000000000000000000000001,1,00000000000000000000000000000010,0,Result OK   ,CarryOut OK   ,
11111111111111111111111111111111,11111111111111111111111111111111,1,11111111111111111111111111111111,1,Result OK   ,CarryOut OK   ,
00000000000000000000000000000000,00000000000000000000000000000000,1,00000000000000000000000000000001,0,Result OK   ,CarryOut OK   ,
00010100110111110111001010001010,00011101101001110110111110010100,1,00110010100001101110001000011111,0,Result OK   ,CarryOut OK   ,
00000011000101001100101111110010,00000110110010111100101111100100,0,00001001111000001001011111010110,0,Result OK   ,CarryOut OK   ,
00001111000000001111101110001001,00000011111101110000000101001100,1,00010010111101111111110011010110,0,Result OK   ,CarryOut OK   ,
00000010100010011111010110111001,00011100000010001101101110100101,1,00011110100100101101000101011111,0,Result OK   ,CarryOut OK   ,
00011100101011101010100101011111,00001101001010011010010001000011,0,00101001110110000100110110100010,0,Result OK   ,CarryOut OK   ,
00001101011100010111100110000000,00010110101110110011000110111001,0,00100100001011001010101100111001,0,Result OK   ,CarryOut OK   ,
00010010011010000001100011000000,00011101100111011101111011001001,1,00110000000001011111011110001010,0,Result OK   ,CarryOut OK   ,
00001011001111110000000000001010,00010110100110010110011011100001,0,00100001110110000110011011101011,0,Result OK   ,CarryOut OK   ,
00010111010001101100001001111000,00011011000111101001000000110001,1,00110010011001010101001010101010,0,Result OK   ,CarryOut OK   ,
00010000101001010011111111100110,00001000110010100010001010100100,0,00011001011011110110001010001010,0,Result OK   ,CarryOut OK   ,
