Instruction,Mps,Mie,Mnev,DfuDataDependency,BranchResult,IrqX,CacheMiss,Rst,Clk,ImmSext,Format,AluOperation,AluSource,CsrOperation,MdrOperation,WbDataSrc,GprWrEna,PcMode,ClkConfig,ExcPcWrEna,ExcCsrWrEna,ExcCsrData,ExcCsrAddress,CycleMepc,ExcMemRd,ExcAluOp,BranchType,BpuMode,GprRsX1,GprRsX2,GprRdX,DfuMode,PipelineMode,AckX
00000000000000000000000000000000,00000000,00000000,00000000,0,0,0,0,1,1,0,00,00001,01,001,0,001,1,01,1,1,01,00000000,00000000,01,1,0,0,1,00001,00001,00001,1,01,0
00000000000000010110000010110111,00000001,00000800,00000001,0,0,0,0,0,1,0,00,00001,01,001,0,001,1,01,1,1,01,00000000,00000000,01,1,0,0,1,00001,00001,00001,1,01,0
11111111111111111111000100010111,00000001,00000800,00000001,0,0,0,0,0,1,0,00,00001,01,001,0,001,1,01,1,1,01,00000000,00000000,01,1,0,0,1,00001,00001,00001,1,01,0
11001011001100000000000110010011,00000001,00000800,00000001,0,0,0,0,0,1,0,00,00001,01,001,0,001,1,01,1,1,01,00000000,00000000,01,1,0,0,1,00001,00001,00001,1,01,0
11100100101100000010001000010011,00000001,00000800,00000001,0,0,0,0,0,1,0,00,00001,01,001,0,001,1,01,1,1,01,00000000,00000000,01,1,0,0,1,00001,00001,00001,1,01,0
01011111110000000011001010010011,00000001,00000800,00000001,0,0,0,0,0,1,0,00,00001,01,001,0,001,1,01,1,1,01,00000000,00000000,01,1,0,0,1,00001,00001,00001,1,01,0
00110101001100000100001100010011,00000001,00000800,00000001,0,0,0,0,0,1,0,00,00001,01,001,0,001,1,01,1,1,01,00000000,00000000,01,1,0,0,1,00001,00001,00001,1,01,0
10001010001000000110001110010011,00000001,00000800,00000001,0,0,0,0,0,1,0,00,00001,01,001,0,001,1,01,1,1,01,00000000,00000000,01,1,0,0,1,00001,00001,00001,1,01,0
01010111101100000111010000010011,00000001,00000800,00000001,0,0,0,0,0,1,0,00,00001,01,001,0,001,1,01,1,1,01,00000000,00000000,01,1,0,0,1,00001,00001,00001,1,01,0
00000001111100001001010010010011,00000001,00000800,00000001,0,0,0,0,0,1,0,00,00001,01,001,0,001,1,01,1,1,01,00000000,00000000,01,1,0,0,1,00001,00001,00001,1,01,0
00000000111100001101010100010011,00000001,00000800,00000001,0,0,0,0,0,1,0,00,00001,01,001,0,001,1,01,1,1,01,00000000,00000000,01,1,0,0,1,00001,00001,00001,1,01,0
01000000010100001101010110010011,00000001,00000800,00000001,0,0,0,0,0,1,0,00,00001,01,001,0,001,1,01,1,1,01,00000000,00000000,01,1,0,0,1,00001,00001,00001,1,01,0
00000000000100010000011000110011,00000001,00000800,00000001,0,0,0,0,0,1,0,00,00001,01,001,0,001,1,01,1,1,01,00000000,00000000,01,1,0,0,1,00001,00001,00001,1,01,0
01000000001000010000011010110011,00000001,00000800,00000001,0,0,0,0,0,1,0,00,00001,01,001,0,001,1,01,1,1,01,00000000,00000000,01,1,0,0,1,00001,00001,00001,1,01,0
00000000001000011001011100110011,00000001,00000800,00000001,0,0,0,0,0,1,0,00,00001,01,001,0,001,1,01,1,1,01,00000000,00000000,01,1,0,0,1,00001,00001,00001,1,01,0
00000000001100011010011110110011,00000001,00000800,00000001,0,0,0,0,0,1,0,00,00001,01,001,0,001,1,01,1,1,01,00000000,00000000,01,1,0,0,1,00001,00001,00001,1,01,0
00000000001100100011100000110011,00000001,00000800,00000001,0,0,0,0,0,1,0,00,00001,01,001,0,001,1,01,1,1,01,00000000,00000000,01,1,0,0,1,00001,00001,00001,1,01,0
00000000010000100100100010110011,00000001,00000800,00000001,0,0,0,0,0,1,0,00,00001,01,001,0,001,1,01,1,1,01,00000000,00000000,01,1,0,0,1,00001,00001,00001,1,01,0
00000000010000101101100100110011,00000001,00000800,00000001,0,0,0,0,0,1,0,00,00001,01,001,0,001,1,01,1,1,01,00000000,00000000,01,1,0,0,1,00001,00001,00001,1,01,0
01000000010100101101100110110011,00000001,00000800,00000001,0,0,0,0,0,1,0,00,00001,01,001,0,001,1,01,1,1,01,00000000,00000000,01,1,0,0,1,00001,00001,00001,1,01,0
00000000010100110110101000110011,00000001,00000800,00000001,0,0,0,0,0,1,0,00,00001,01,001,0,001,1,01,1,1,01,00000000,00000000,01,1,0,0,1,00001,00001,00001,1,01,0
00000000011000110111101010110011,00000001,00000800,00000001,0,0,0,0,0,1,0,00,00001,01,001,0,001,1,01,1,1,01,00000000,00000000,01,1,0,0,1,00001,00001,00001,1,01,0
00101011000100011001101101110011,00000001,00000800,00000001,0,0,0,0,0,1,0,00,00001,01,001,0,001,1,01,1,1,01,00000000,00000000,01,1,0,0,1,00001,00001,00001,1,01,0
00001001100100011010101111110011,00000001,00000800,00000001,0,0,0,0,0,1,0,00,00001,01,001,0,001,1,01,1,1,01,00000000,00000000,01,1,0,0,1,00001,00001,00001,1,01,0
00101110110000011011110001110011,00000001,00000800,00000001,0,0,0,0,0,1,0,00,00001,01,001,0,001,1,01,1,1,01,00000000,00000000,01,1,0,0,1,00001,00001,00001,1,01,0
00110101101110101101110011110011,00000001,00000800,00000001,0,0,0,0,0,1,0,00,00001,01,001,0,001,1,01,1,1,01,00000000,00000000,01,1,0,0,1,00001,00001,00001,1,01,0
00111100100001110110110101110011,00000001,00000800,00000001,0,0,0,0,0,1,0,00,00001,01,001,0,001,1,01,1,1,01,00000000,00000000,01,1,0,0,1,00001,00001,00001,1,01,0
00011100001100010111110111110011,00000001,00000800,00000001,0,0,0,0,0,1,0,00,00001,01,001,0,001,1,01,1,1,01,00000000,00000000,01,1,0,0,1,00001,00001,00001,1,01,0
00010110010101010000111000000011,00000001,00000800,00000001,0,0,0,0,0,1,0,00,00001,01,001,0,001,1,01,1,1,01,00000000,00000000,01,1,0,0,1,00001,00001,00001,1,01,0
