#OpCode       ,Funct3       ,Funct7       ,ImmSext      ,Format       ,AluOperation ,AluSource    ,CsrOperation ,MdrOperation ,WbDataSrc    ,GprWrEna     ,UnknownInst  ,BranchType   ,GprUsed      ,
0000000,000,0000000,0,00,11111,00,111,0000,111,0,1,0000,000,ImmSext OK   ,Format OK   ,AluOperation OK   ,AluSource OK   ,CsrOperation OK   ,MdrOperation OK   ,WbDataSrc OK   ,GprWrEna OK   ,UnknownInst OK   ,BranchType OK   ,GprUsed OK   ,
0110111,000,0110001,0,01,11111,00,111,0000,010,1,0,0000,100,ImmSext OK   ,Format OK   ,AluOperation OK   ,AluSource OK   ,CsrOperation OK   ,MdrOperation OK   ,WbDataSrc OK   ,GprWrEna OK   ,UnknownInst OK   ,BranchType OK   ,GprUsed ERROR,
0010111,110,0110001,0,01,00100,01,111,0000,011,1,0,0000,100,ImmSext OK   ,Format OK   ,AluOperation OK   ,AluSource OK   ,CsrOperation OK   ,MdrOperation OK   ,WbDataSrc OK   ,GprWrEna OK   ,UnknownInst OK   ,BranchType OK   ,GprUsed ERROR,
0010011,000,1101101,1,10,00100,10,111,0000,011,1,0,0000,101,ImmSext OK   ,Format OK   ,AluOperation OK   ,AluSource OK   ,CsrOperation OK   ,MdrOperation OK   ,WbDataSrc OK   ,GprWrEna OK   ,UnknownInst OK   ,BranchType OK   ,GprUsed ERROR,
0010011,010,1101101,1,10,00111,10,111,0000,101,1,0,0000,101,ImmSext OK   ,Format OK   ,AluOperation OK   ,AluSource OK   ,CsrOperation OK   ,MdrOperation OK   ,WbDataSrc OK   ,GprWrEna OK   ,UnknownInst OK   ,BranchType OK   ,GprUsed ERROR,
0010011,011,1101101,0,10,00110,10,111,0000,101,1,0,0000,101,ImmSext OK   ,Format OK   ,AluOperation OK   ,AluSource OK   ,CsrOperation OK   ,MdrOperation OK   ,WbDataSrc OK   ,GprWrEna OK   ,UnknownInst OK   ,BranchType OK   ,GprUsed ERROR,
0010011,100,1101101,1,10,00010,10,111,0000,011,1,0,0000,101,ImmSext OK   ,Format OK   ,AluOperation OK   ,AluSource OK   ,CsrOperation OK   ,MdrOperation OK   ,WbDataSrc OK   ,GprWrEna OK   ,UnknownInst OK   ,BranchType OK   ,GprUsed ERROR,
0010011,110,1101101,1,10,00001,10,111,0000,011,1,0,0000,101,ImmSext OK   ,Format OK   ,AluOperation OK   ,AluSource OK   ,CsrOperation OK   ,MdrOperation OK   ,WbDataSrc OK   ,GprWrEna OK   ,UnknownInst OK   ,BranchType OK   ,GprUsed ERROR,
0010011,111,1101101,1,10,00000,10,111,0000,011,1,0,0000,101,ImmSext OK   ,Format OK   ,AluOperation OK   ,AluSource OK   ,CsrOperation OK   ,MdrOperation OK   ,WbDataSrc OK   ,GprWrEna OK   ,UnknownInst OK   ,BranchType OK   ,GprUsed ERROR,
0010011,001,0000000,0,00,10010,11,111,0000,011,1,0,0000,111,ImmSext OK   ,Format OK   ,AluOperation OK   ,AluSource OK   ,CsrOperation OK   ,MdrOperation OK   ,WbDataSrc OK   ,GprWrEna OK   ,UnknownInst OK   ,BranchType OK   ,GprUsed ERROR,
0010011,101,0000000,0,00,10000,11,111,0000,011,1,0,0000,111,ImmSext OK   ,Format OK   ,AluOperation OK   ,AluSource OK   ,CsrOperation OK   ,MdrOperation OK   ,WbDataSrc OK   ,GprWrEna OK   ,UnknownInst OK   ,BranchType OK   ,GprUsed ERROR,
