AluResult,ImmData,RdAddress,CsrData,Negative,PcNext,DfuMode,CacheMiss,GprRsX1,GprRsX2,GprRdX,Inst,Rst,Clk,DfuWrEna,DfuAddress,DfuData,EnaPipeline,DataDependency
00000000,00000000,00000,00000000,0,00000000,0,0,00000,00000,00000,000,1,1,0,00000,00000000,0,0
00000020,0000000C,00000,00000041,1,0000002D,1,0,01011,01100,00001,111,0,1,0,00000,00000000,0,0
00000020,0000000C,00000,00000041,1,0000002D,1,0,00001,01100,00010,111,0,1,0,00000,00000000,0,0
00000020,0000000C,00000,00000041,1,0000002D,1,0,01101,01110,00011,111,0,1,0,00000,00000000,1,1
00000020,0000000C,00001,00000041,1,0000002D,1,0,01101,01110,00011,011,0,1,1,00001,00000020,0,0
00000020,0000000C,00010,00000041,1,0000002D,1,0,01101,01110,00100,100,0,1,0,00000,00000000,0,0
00000020,0000000C,00011,00000041,1,0000002D,1,0,01111,10011,01010,101,0,1,0,00000,00000000,0,0
00000020,0000000C,00000,00000041,1,0000002D,0,0,00000,00000,00000,000,1,1,0,00000,00000000,0,0
00000020,0000000C,00000,00000041,1,0000002D,1,0,01011,01100,00001,111,0,1,0,00000,00000000,0,0
00000020,0000000C,00000,00000041,1,0000002D,1,0,01011,01100,00000,111,0,1,0,00000,00000000,0,0
00000020,0000000C,00000,00000041,1,0000002D,1,0,01011,00001,00010,111,0,1,0,00000,00000000,0,0
00000020,0000000C,00001,00000041,1,0000002D,1,0,01100,01100,00011,000,0,1,0,00000,00000000,0,0
00000020,0000000C,00000,00000041,1,0000002D,1,0,00001,00000,00000,001,0,1,0,00000,00000000,0,0
00000020,0000000C,00000,00000041,1,0000002D,0,0,00000,00000,00000,000,1,1,0,00000,00000000,0,0
00000020,0000000C,00000,00000041,1,0000002D,1,0,01011,01100,00001,111,0,1,0,00000,00000000,0,0
00000020,0000000C,00000,00000041,1,0000002D,1,0,00001,00001,00010,111,0,1,0,00000,00000000,0,0
00000020,0000000C,00000,00000041,1,0000002D,1,0,00010,01101,00011,111,0,1,0,00000,00000000,1,1
00000020,0000000C,00001,00000041,1,0000002D,1,0,00010,01101,00011,101,0,1,1,00001,00000001,0,0
00000020,0000000C,00000,00000041,1,0000002D,1,0,01101,01101,00100,100,0,1,0,00000,00000000,1,1
00000020,0000000C,00010,00000041,1,0000002D,1,0,01101,01101,00100,011,0,1,1,00010,00000020,0,0
00000020,0000000C,00000,00000041,1,0000002D,0,0,00000,00000,00000,000,1,1,0,00000,00000000,0,0
00000020,0000000C,00000,00000041,1,0000002D,1,0,01011,01100,00001,111,0,1,0,00000,00000000,0,0
00000020,0000000C,00000,00000041,1,0000002D,1,0,00001,01100,00010,111,0,1,0,00000,00000000,0,0
00000020,0000000C,00000,00000041,1,0000002D,1,0,01101,01110,00011,111,0,1,0,00000,00000000,1,1
00000020,0000000C,00001,00000041,1,0000002D,1,1,01101,01110,00011,011,0,1,1,00001,00000020,0,0
00000020,0000000C,00001,00000041,1,0000002D,1,1,01101,01110,00011,011,0,1,1,00010,00000020,0,0
00000020,0000000C,00001,00000041,1,0000002D,1,0,01101,01110,00011,011,0,1,1,00011,00000020,0,0
00000020,0000000C,00010,00000041,1,0000002D,1,0,01101,01110,00100,100,0,1,0,00000,00000000,0,0
00000020,0000000C,00011,00000041,1,0000002D,1,0,01111,10011,01010,101,0,1,0,00000,00000000,0,0
