+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                                                             ;
+---------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                                                                         ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
+---------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; ArkI2|AddressSolver                                                                               ; 138   ; 0              ; 0            ; 0              ; 172    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ArkI2|Cache|DatCache|\SliceGenerate:15:SliceN|RatingCounter|SumNextCount|Add|\AdderGenerator:7:FA ; 3     ; 1              ; 0            ; 1              ; 2      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ArkI2|Cache|DatCache|\SliceGenerate:15:SliceN|RatingCounter|SumNextCount|Add|\AdderGenerator:6:FA ; 3     ; 1              ; 0            ; 1              ; 2      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ArkI2|Cache|DatCache|\SliceGenerate:15:SliceN|RatingCounter|SumNextCount|Add|\AdderGenerator:5:FA ; 3     ; 1              ; 0            ; 1              ; 2      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ArkI2|Cache|DatCache|\SliceGenerate:15:SliceN|RatingCounter|SumNextCount|Add|\AdderGenerator:4:FA ; 3     ; 1              ; 0            ; 1              ; 2      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ArkI2|Cache|DatCache|\SliceGenerate:15:SliceN|RatingCounter|SumNextCount|Add|\AdderGenerator:3:FA ; 3     ; 1              ; 0            ; 1              ; 2      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ArkI2|Cache|DatCache|\SliceGenerate:15:SliceN|RatingCounter|SumNextCount|Add|\AdderGenerator:2:FA ; 3     ; 1              ; 0            ; 1              ; 2      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ArkI2|Cache|DatCache|\SliceGenerate:15:SliceN|RatingCounter|SumNextCount|Add|\AdderGenerator:1:FA ; 3     ; 1              ; 0            ; 1              ; 2      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ArkI2|Cache|DatCache|\SliceGenerate:15:SliceN|RatingCounter|SumNextCount|Add|\AdderGenerator:0:FA ; 3     ; 1              ; 0            ; 1              ; 2      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
